trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1038,False,"{'a': 0.5, 'e': 0.507944052097216}",30,24,13.338834981777445,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1039,False,"{'a': 0.5, 'e': 0.5070824082061802}",25,11,-25.151560792181087,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
1040,False,"{'a': 0.5, 'e': 0.5062202572327784}",25,0,-38.68532370857023,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",1
1041,False,"{'a': 0.5, 'e': 0.5053576000391616}",20,8,-51.39089099392967,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
1042,False,"{'a': 0.5, 'e': 0.5044944374879868}",20,0,-64.24358134256086,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
1043,False,"{'a': 0.5, 'e': 0.5036307704424167}",25,6,-30.29735741242643,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 0}",1
1044,False,"{'a': 0.5, 'e': 0.5027665997661179}",25,1,-30.84482255567945,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 0}",1
1045,False,"{'a': 0.5, 'e': 0.5019019263232615}",20,0,-98.98015273626065,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
1046,False,"{'a': 0.5, 'e': 0.5010367509785203}",30,2,-44.245860451739844,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 0}",1
1047,False,"{'a': 0.5, 'e': 0.5001710745970701}",25,7,-18.402512360451606,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
1048,False,"{'a': 0.5, 'e': 0.49930489804458683}",30,22,15.726166550023851,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
1049,False,"{'a': 0.5, 'e': 0.4984382221872473}",20,0,-15.020071240604683,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
1050,False,"{'a': 0.5, 'e': 0.49757104789172696}",30,0,-51.22032967466425,"{0: 24, 1: 2, 2: 3, 3: 0, 4: 1}",0
1051,False,"{'a': 0.5, 'e': 0.49670337602520037}",20,0,-32.10266793768571,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
1052,False,"{'a': 0.5, 'e': 0.49583520745533893}",20,7,6.202091397525605,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 0}",1
1053,False,"{'a': 0.5, 'e': 0.49496654305031157}",20,13,-27.661727099965397,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
1054,False,"{'a': 0.5, 'e': 0.4940973836787822}",20,3,3.412245183631737,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
